4_2_10,110_14_14
4_2_11,101_14_17
4_2_12,103_7_4
4_2_13,103_9_10
4_2_14,107_15_13
4_2_15,109_18_7
4_2_16,104_7_3
4_2_17,108_11_3
4_2_18,101_13_17
4_2_19,107_20_18
4_2_20,103_19_20
4_3_1,110_13_7
4_3_2,102_10_17
4_3_3,102_7_16
4_3_4,107_14_11
4_3_5,109_6_1
4_3_6,105_18_1
4_3_7,102_18_3
4_3_8,110_6_9
4_3_9,105_18_14
4_3_10,108_9_8
4_3_11,108_9_11
4_3_12,105_13_15
4_3_13,105_13_15
4_3_14,109_8_4
4_3_15,110_3_12
4_3_16,106_11_4
4_3_17,103_4_6
4_3_18,110_19_19
4_3_19,102_17_5
4_3_20,110_9_20
4_4_1,107_7_10
4_4_2,101_6_3
4_4_3,106_18_18
4_4_4,104_13_1
4_4_5,108_9_8
4_4_6,107_13_11
