2_14_9,104_4_14
2_14_10,103_18_3
2_14_11,107_11_11
2_14_12,107_15_8
2_14_13,101_19_7
2_14_14,104_20_18
2_14_15,103_20_11
2_14_16,106_12_12
2_14_17,109_8_14
2_14_18,109_17_17
2_14_19,110_7_6
2_14_20,108_8_20
2_15_1,108_6_12
2_15_2,103_12_2
2_15_3,103_10_10
2_15_4,103_10_10
2_15_5,107_1_3
2_15_6,107_19_8
2_15_7,107_18_4
2_15_8,103_20_15
2_15_9,104_19_18
2_15_10,110_5_13
2_15_11,104_6_15
2_15_12,107_4_14
2_15_13,106_5_14
2_15_14,101_19_6
2_15_15,102_17_5
2_15_16,104_9_17
2_15_17,108_11_8
2_15_18,108_10_5
2_15_19,103_11_5
2_15_20,108_16_20
2_16_1,108_5_10
2_16_2,108_14_1
2_16_3,108_17_7
2_16_4,107_13_17
2_16_5,103_19_4
2_16_6,107_20_15
2_16_7,105_4_5
2_16_8,109_11_16
2_16_9,101_18_12
2_16_10,108_10_17
2_16_11,109_7_13
2_16_12,108_7_3
2_16_13,106_20_14
2_16_14,106_3_17
2_16_15,106_18_14
2_16_16,104_16_7
2_16_17,110_19_17
2_16_18,106_1_10
2_16_19,102_19_16
2_16_20,110_16_20
2_17_1,103_14_11
2_17_2,108_7_14
2_17_3,104_10_16
2_17_4,110_18_7
2_17_5,107_1_6
2_17_6,107_9_11
2_17_7,107_9_11
2_17_8,105_4_5
2_17_9,102_14_13
2_17_10,102_10_19
2_17_11,110_17_17
2_17_12,102_7_15
2_17_13,106_10_15
2_17_14,102_19_5
2_17_15,108_15_18
2_17_16,102_16_13
2_17_17,107_15_15
2_17_18,102_17_7
2_17_19,106_6_2
2_17_20,102_2_1
2_18_1,110_9_11
2_18_2,101_18_7
2_18_3,103_17_14
2_18_4,110_7_15
2_18_5,106_6_14
2_18_6,108_6_8
2_18_7,105_13_19
2_18_8,106_2_3
2_18_9,106_1_6
2_18_10,102_18_1
2_18_11,109_19_3
2_18_12,106_3_8
2_18_13,107_6_15
2_18_14,110_9_9
2_18_15,104_1_15
2_18_16,110_20_9
2_18_17,105_9_8
2_18_18,105_19_3
2_18_19,104_17_13
2_18_20,108_18_20
2_19_1,101_11_16
2_19_2,101_4_7
2_19_3,101_14_3
2_19_4,110_15_1
2_19_5,106_10_14
2_19_6,106_19_2
2_19_7,107_18_10
